,Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,GDP_annual_change
1022,2018,Uzbekistan,UZB,13,0,0,79942,0,5.35499688821734
1023,2019,Uzbekistan,UZB,13,0,0,97346,0,5.7096322218392
1024,2020,Uzbekistan,UZB,13,0,0,69791,0,1.71477057564864
1025,2021,Uzbekistan,UZB,13,0,0,59136,0,
1026,2021,Vanuatu,VUT,0,5,0,0,0,
1027,2016,Venezuela (Bolivarian Republic of),VEN,172047,900,0,0,0,
1028,2017,Venezuela (Bolivarian Republic of),VEN,122804,904,0,0,0,
1029,2018,Venezuela (Bolivarian Republic of),VEN,67283,142,0,0,0,
1030,2019,Venezuela (Bolivarian Republic of),VEN,67749,49,0,0,494503,
1031,2020,Venezuela (Bolivarian Republic of),VEN,68089,284,0,0,1112517,
1032,2021,Venezuela (Bolivarian Republic of),VEN,68139,520,0,0,1018709,
1033,2016,Viet Nam,VNM,0,0,0,11000,0,
1034,2017,Viet Nam,VNM,0,0,0,29522,0,
1035,2018,Viet Nam,VNM,0,0,0,34110,0,
1036,2019,Viet Nam,VNM,0,0,0,30581,0,
1037,2020,Viet Nam,VNM,0,0,0,32890,0,
1038,2021,Viet Nam,VNM,0,0,0,30581,0,
1039,2016,Yemen,YEM,269778,9088,2025060,0,10,
1040,2017,Yemen,YEM,270913,9763,2014062,0,15,
1041,2018,Yemen,YEM,264359,8805,2144719,0,10,
1042,2019,Yemen,YEM,268503,11325,3625716,0,15,
1043,2020,Yemen,YEM,166906,10693,4002012,0,15,
1044,2021,Yemen,YEM,129001,11788,4042836,0,15,
1045,2016,Zambia,ZMB,29338,3318,0,0,24540,3.77667914626731
1046,2017,Zambia,ZMB,41266,4675,0,0,22394,3.50433609558682
1047,2018,Zambia,ZMB,49877,3300,0,0,22842,4.03449389667165
1048,2019,Zambia,ZMB,57518,5081,0,0,23275,1.44130602603785
1049,2020,Zambia,ZMB,66070,4293,0,0,24203,-2.78505506545167
1050,2021,Zambia,ZMB,70837,4579,0,0,24560,
1051,2016,Zimbabwe,ZWE,7423,948,0,0,1671,0.0
1052,2017,Zimbabwe,ZWE,7566,8392,0,0,2859,0.0
1053,2018,Zimbabwe,ZWE,7795,10207,0,0,853,0.0
1054,2019,Zimbabwe,ZWE,8956,11532,270000,0,957,0.0
1055,2020,Zimbabwe,ZWE,9261,11929,0,0,967,0.0
1056,2021,Zimbabwe,ZWE,9467,12101,0,0,985,
